Archive:  aer_20161214_data.zip
Zip file size: 53623786 bytes, number of entries: 1048
drwxrwxr--  2.0 unx        0 b- stor 21-Sep-20 11:24 citations/
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:29 data/
-rw-r--r--  2.0 unx   354433 b- defN 21-Sep-20 11:29 metadata.rdf
-rw-r--r--  2.0 unx    14974 b- defN 21-Sep-20 11:24 LICENSE.txt
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:20 data/ReplicationFiles/
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:20 data/ReplicationFiles/AgrMechanization/
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:22 data/ReplicationFiles/Codes_Census/
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:20 data/ReplicationFiles/Codes_Other/
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Manipulation/
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Regressions/
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:22 data/ReplicationFiles/Data/
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:20 data/ReplicationFiles/Data_Other/
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:20 data/ReplicationFiles/ProcessedData_RAIS/
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:20 data/ReplicationFiles/Results/
-rw-r--r--  2.0 unx     2125 b- defN 21-Sep-20 11:20 data/ReplicationFiles/1_Run_Census_Other.do
-rw-r--r--  2.0 unx     4537 b- defN 21-Sep-20 11:20 data/ReplicationFiles/2_Run_RAIS_Analysis.do
-rw-r--r--  2.0 unx     3234 b- defN 21-Sep-20 11:20 data/ReplicationFiles/0_README.txt
-rw-r--r--  2.0 unx     6158 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Regressions/9_TestAggEcon.do
-rw-r--r--  2.0 unx    24978 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Regressions/15_Main_Regressions_Earnings_Mechanization.do
-rw-r--r--  2.0 unx    21324 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Regressions/16_Main_Regressions_Employment_Mechanization.do
-rw-r--r--  2.0 unx     4329 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Regressions/7_PlantEntryExit.do
-rw-r--r--  2.0 unx    15385 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Regressions/4_ADH_IV.do
-rw-r--r--  2.0 unx    18116 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Regressions/14_DescriptiveStats.do
-rw-r--r--  2.0 unx     6157 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Regressions/5_ResidualAnalysis.do
-rw-r--r--  2.0 unx     5179 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Regressions/6_NumberOfPlants.do
-rw-r--r--  2.0 unx     4564 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Regressions/8_JobDestruction_JobCreation.do
-rw-r--r--  2.0 unx    11114 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Regressions/1_Main_Regressions_Earnings.do
-rw-r--r--  2.0 unx    22426 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Regressions/11_MainRobustnessEarn.do
-rw-r--r--  2.0 unx    22013 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Regressions/10_AgglomerationEconomies.do
-rw-r--r--  2.0 unx    13709 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Regressions/13_RobustnessCommodityBoom.do
-rw-r--r--  2.0 unx     8535 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Regressions/2_Main_Regressions_Employment.do
-rw-r--r--  2.0 unx     6375 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Regressions/3_Mechanisms_WorkerComp.do
-rw-r--r--  2.0 unx     9800 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Codes_RAIS_Regressions/12_MainRobustnessEmp.do
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Auxiliary_Files/
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/
-rw-r--r--  2.0 unx 568501411 b- defN 21-Sep-20 11:21 data/ReplicationFiles/Data_Census/cen70.dta
-rw-r--r--  4.5 unx 14072782556 bx defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/code_sample.dta
-rw-r--r--  2.0 unx     4180 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Data_Census/code_sample_1980.do
-rw-r--r--  2.0 unx     7244 b- defN 21-Sep-20 11:21 data/ReplicationFiles/Data_Census/cen80educ.do
-rw-r--r--  2.0 unx      925 b- defN 21-Sep-20 11:21 data/ReplicationFiles/Data_Census/census_code_sample.do
-rw-r--r--  2.0 unx     7279 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/code_sample.do
-rw-r--r--  4.5 unx 3632730130 bx defN 21-Sep-20 11:21 data/ReplicationFiles/Data_Census/code_sample_1980.dta
-rw-r--r--  2.0 unx     3814 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/code_sample_1970.do
-rw-r--r--  2.0 unx     2055 b- defN 21-Sep-20 11:21 data/ReplicationFiles/Data_Census/cen70code.do
-rw-r--r--  2.0 unx     5266 b- defN 21-Sep-20 11:21 data/ReplicationFiles/Data_Census/cen91code.do
-rw-r--r--  2.0 unx     2328 b- defN 21-Sep-20 11:21 data/ReplicationFiles/Data_Census/rent91code.do
-rw-r--r--  2.0 unx      671 b- defN 21-Sep-20 11:21 data/ReplicationFiles/Data_Census/census_currency.do
-rw-r--r--  2.0 unx 1586442920 b- defN 21-Sep-20 11:21 data/ReplicationFiles/Data_Census/cen80.dta
-rw-r--r--  2.0 unx     1471 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/cen70educ.do
-rw-r--r--  2.0 unx     2697 b- defN 21-Sep-20 11:21 data/ReplicationFiles/Data_Census/rent10code.do
-rw-r--r--  2.0 unx 1317843704 b- defN 21-Sep-20 11:20 data/ReplicationFiles/Data_Census/cen00.dta
-rw-r--r--  2.0 unx     4391 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/cen10code.do
-rw-r--r--  2.0 unx 27103038 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/rent10.dta
-rw-r--r--  2.0 unx 1073883789 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/cen91.dta
-rw-r--r--  2.0 unx     5120 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/cen00code.do
-rw-r--r--  2.0 unx     3314 b- defN 21-Sep-20 11:21 data/ReplicationFiles/Data_Census/educ_censo_2010.do
-rw-r--r--  2.0 unx 1320676862 b- defN 21-Sep-20 11:21 data/ReplicationFiles/Data_Census/cen10.dta
-rw-r--r--  2.0 unx     4493 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/cen80code.do
-rw-r--r--  4.5 unx 2544393155 bx defN 21-Sep-20 11:21 data/ReplicationFiles/Data_Census/code_sample_1970.dta
-rw-r--r--  2.0 unx 18766398 b- defN 21-Sep-20 11:21 data/ReplicationFiles/Data_Census/rent91.dta
-rw-r--r--  2.0 unx   881327 b- defN 21-Sep-20 11:21 data/ReplicationFiles/Data_Census/census_code_sample.txt
-rw-r--r--  2.0 unx     1078 b- defN 21-Sep-20 11:21 data/ReplicationFiles/Data_Census/census_deflators.do
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:24 data/ReplicationFiles/Data_Census/Census_Raw/1991/
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2000/
drwxr-xr-x  2.0 unx        0 b- stor 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/
-rw-r--r--  2.0 unx 326547113 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st26com.dta
-rw-r--r--  2.0 unx 59410234 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st11com.dta
-rw-r--r--  2.0 unx 114478771 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st51com.dta
-rw-r--r--  2.0 unx 133078015 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st24com.dta
-rw-r--r--  2.0 unx 557791023 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st29com.dta
-rw-r--r--  2.0 unx 128319151 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st32com.dta
-rw-r--r--  2.0 unx 70958513 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st53com.dta
-rw-r--r--  2.0 unx 107377527 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st13com.dta
-rw-r--r--  2.0 unx 139281097 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st22com.dta
-rw-r--r--  2.0 unx 239958767 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st15com.dta
-rw-r--r--  2.0 unx 422206268 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st43com.dta
-rw-r--r--  2.0 unx 60380121 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st17com.dta
-rw-r--r--  2.0 unx 427689760 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st41com.dta
-rw-r--r--  2.0 unx 243534802 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st42com.dta
